Name,Gender,Star,Summary,Director,Realase Date,Reward
Requiem for a Dream,Drama,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,2000,37 wins & 70 nominations total
Singin' in the Rain,Comedy,8.3,A silent film production company and cast make a difficult transition to sound.,Stanley Donen,1952,7 wins & 9 nominations total
North by Northwest,Adventure,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Alfred Hitchcock,1959,8 wins & 10 nominations total
Pather Panchali,Drama,8.5,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray,1955,11 wins & 2 nominations total
Eternal Sunshine of the Spotless Mind,Drama,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,2004,73 wins & 111 nominations total
Ikiru,Drama,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,1952,5 wins & 2 nominations total
Ladri di biciclette,Drama,8.3,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Vittorio De Sica,1948,20 wins & 3 nominations total
Lawrence of Arabia,Adventure,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,1962,31 wins & 14 nominations total
The Kid,Comedy,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin,1921,2 wins
Full Metal Jacket,Drama,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,1987,8 wins & 15 nominations total
Dangal,Action,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,2016,23 wins & 6 nominations
The Father,Drama,8.3,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,2020,26 wins & 135 nominations total
A Clockwork Orange,Crime,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,1971,12 wins & 24 nominations total
The Apartment,Comedy,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,1960,24 wins & 8 nominations total
Metropolis,Drama,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,1927,6 wins & 6 nominations
Taxi Driver,Crime,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Martin Scorsese,1976,22 wins & 20 nominations total
Incendies,Drama,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,2010,39 wins & 17 nominations total
Double Indemnity,Crime,8.3,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Billy Wilder,1944,2 wins & 9 nominations total
The Sting,Comedy,8.3,Two grifters team up to pull off the ultimate con.,George Roy Hill,1973,18 wins & 6 nominations total
Jodaeiye Nader az Simin,Drama,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,2011,89 wins & 49 nominations total
Scarface,Crime,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Brian De Palma,1983,8 nominations
1917,Action,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,2019,134 wins & 200 nominations total
Snatch,Comedy,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,2000,4 wins & 7 nominations
Le fabuleux destin d'Amélie Poulain,Comedy,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Jean-Pierre Jeunet,2001,59 wins & 74 nominations total
Toy Story 3,Animation,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,2010,61 wins & 96 nominations total
To Kill a Mockingbird,Crime,8.3,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,1962,14 wins & 16 nominations total
Per qualche dollaro in più,Western,8.2,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Sergio Leone,1965,2 nominations
Up,Animation,8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,2009,79 wins & 87 nominations total
Indiana Jones and the Last Crusade,Action,8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Steven Spielberg,1989,8 wins & 22 nominations total
L.A. Confidential,Crime,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,1997,91 wins & 85 nominations total
Heat,Crime,8.2,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,1995,14 nominations
Rashômon,Crime,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,1950,9 wins & 5 nominations total
Yôjinbô,Action,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,1961,4 wins & 2 nominations total
Ran,Action,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,1985,30 wins & 23 nominations total
Die Hard,Action,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,1988,8 wins & 6 nominations total
Green Book,Biography,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,2018,58 wins & 123 nominations total
Der Untergang,Biography,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,2004,22 wins & 34 nominations total
Monty Python and the Holy Grail,Adventure,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,1975,3 wins & 3 nominations
All About Eve,Drama,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,1950,26 wins & 20 nominations total
Some Like It Hot,Comedy,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,1959,15 wins & 15 nominations total
Batman Begins,Action,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,2005,13 wins & 79 nominations total
Unforgiven,Drama,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,1992,50 wins & 47 nominations total
Bacheha-Ye aseman,Drama,8.3,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,1997,13 wins & 5 nominations total
Hauru no ugoku shiro,Animation,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,2004,14 wins & 20 nominations total
The Wolf of Wall Street,Biography,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,2013,37 wins & 179 nominations total
Judgment at Nuremberg,Drama,8.2,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,1961,16 wins & 25 nominations total
The Great Escape,Adventure,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,1963,3 wins & 11 nominations total
Casino,Crime,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Martin Scorsese,1995,4 wins & 11 nominations total
There Will Be Blood,Drama,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,2007,116 wins & 137 nominations total
The Treasure of the Sierra Madre,Adventure,8.2,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,1948,16 wins & 8 nominations total
El laberinto del fauno,Drama,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,2006,109 wins & 115 nominations total
